SKU;Desc.Produto;Data.Preco;Preco.Venda
0000001;BULE COM INFUSOR - HORTICOOL GREEN 500ML;21/07/2026;332,97
0000002;BULE COM INFUSOR - HORTICOOL GREEN 1000M;21/07/2026;433,97
0000003;ACUCAREIRO HORTICOOL GREEN 150ML;21/07/2026;154,97
0000004;LEITEIRA HORTICOOL GREEN 150ML;21/07/2026;127,97
0000005;BULE COM INFUSOR E XICARA HOORTICOL GREE;21/07/2026;455,97
0000006;XICARA DE CHA E PIRES APPLE BLOSSOM HORT;21/07/2026;161,97
0000007;XICARA DE CHA E PIRES FLOR GEOMETRIA VER;21/07/2026;161,97
0000008;CAFE E PIRES HORTICOOL GREEN 100ML;21/07/2026;125,97
0000009;PRATO DE PAO LIMA HORTICOOL GREEN 16,5CM;21/07/2026;100,97
0000010;PRATO DE PAO PINK HORTICOOL GREEN 16.5CM;21/07/2026;100,97
0000011;PRATO DE SOBREMESA FLOR HORTICOOL GREEN;21/07/2026;127,97
0000012;PRATO DE SOBREMESA GEOMETRIA GREEN HORTI;21/07/2026;127,97
0000013;PRATO RASO FLORAL HORTICOOL GREEN 26CM 2;21/07/2026;161,97
0000014;PRATO DE JANTAR GEOMETRIA HORTICOOL GREE;21/07/2026;161,97
0000015;PRATO FUNDO TRELIÇA HORTICOOL GREEN 22CM;21/07/2026;140,97
0000016;PRATO FUNDO GEOMETRIA HORTICOOL GREEN 22;21/07/2026;140,97
0000017;TRAVESSA OBLONGA HORTICOOL GREEN 30CM 29;21/07/2026;161,97
0000018;TRAVESSA OBLONGA HORTICOOL GREEN 35CM 34;21/07/2026;234,97
0000019;BOWL HORTICOOL GREEN 17CM 700ML;21/07/2026;135,97
0000020;BOWL FLOR DE MACA HORTICOOL GREEN 17CM 7;21/07/2026;177,97
0000021;SOPEIRA GREEN HORTICOOL 2.4L 2400ML;21/07/2026;991,97
0000022;CONJUNTO/2 CANECAS HORTICOOL 300ML;21/07/2026;167,97
0000023;PRATO DE DOCES 2 CAMADAS HORTICOOL GREEN;21/07/2026;255,97
0000024;PRATO DE DOCE 3 CAMADAS HORTICOOL GREEN;21/07/2026;436,97
0000025;TRAVESSA OVAL HORTICOOL GREEN 31CM 30.9x;21/07/2026;200,97
0000026;TIGELA FLOR DE MACA HORTICOOL GREEN 22CM;21/07/2026;302,97
0000027;TIGELA FLOR DE MACA HORTICOOL GREEN 12CM;21/07/2026;87,97
0000028;CESTA DE PIQUENIQUE HORTICOOL GREEN 38x2;21/07/2026;476,97
0000029;TRILHO DE MESA HORTICOOL;21/07/2026;309,97
0000030;BULE COM INFUSOR - HORTICOOL PINK 500ML;21/07/2026;392,97
0000031;BULE COM INFUSOR - HORTICOOL PINK 1000ML;21/07/2026;433,97
0000032;ACUCAREIRO HORTICOOL PINK 150ML;21/07/2026;154,97
0000033;LEITEIRA HORTICOOL PINK 150ML;21/07/2026;127,97
0000034;BULE COM INFUSOR E XICARA HORTICOOL PINK;21/07/2026;435,97
0000035;XICARA DE CHA E PIRES APPLE BLOSSOM HORT;21/07/2026;161,97
0000036;XICARA DE CHA E PIRES GEOMETRICA BLOSSOM;21/07/2026;161,97
0000037;CAFE E PIRES HORTICOOL PINK 100ML;21/07/2026;125,97
0000038;PRATO DE PAO LIME HORTICOOL PINK 16,5CM;21/07/2026;100,97
0000039;PRATO DE SOBREMESA FLOR BLOSSOM PINK 20,;21/07/2026;127,97
0000040;PRATO DE SOBREMESA GEOMETRIA HORTICOOL P;21/07/2026;127,97
0000041;PRATO DE JANTAR FLOR DE MACA HORTICOOL P;21/07/2026;161,97
0000042;PRATO FUNDO FLOR DE MACA HORTICOOL PINK;21/07/2026;140,97
0000043;TRAVESSA OBLONGA HORTICOOL PINK 30CM 29.;21/07/2026;161,97
0000044;TRAVESSA OBLONGA HORTICOOL PINK 35CM 34.;21/07/2026;234,97
0000045;BOWL HORTICOOL PINK 17CM 700ML;21/07/2026;135,97
0000046;SOPEIRA HORTICOOL PINK 2.4L 2400ML;21/07/2026;991,97
0000047;PRATO DE DOCES 2 CAMADAS HORTICOOL PINK;21/07/2026;255,97
0000048;TRAVESSA OVAL HORTICOOL PINK 31CM 30.9x1;21/07/2026;200,97
0000049;TIGELA FLOR DE MACA HORTICOOL PINK 12CM;21/07/2026;87,97
0000050;BOWL FLOR DE MACA HORTICOOL PINK 22CM 21;21/07/2026;302,97
0000051;BULE COM INFUSOR - REGENCY DAMASK 500ML;21/07/2026;389,97
0000052;BULE COM INFUSOR RENGENCY DAMASKY 1000ML;21/07/2026;500,97
0000053;BULE COM INFUSOR E XICARA REGENCY DAMASK;21/07/2026;433,97
0000054;PRATOS DE PAO REGENCY DAMASKY 17CM 17.1x;21/07/2026;120,97
0000055;PRATO DE PAO REGENCY DAMASKY 17CM 17.1x1;21/07/2026;120,97
0000056;PRATO DE PAO REGENCY DAMASKY 17CM 17.1x1;21/07/2026;120,97
0000057;PRATO DE PAO REGENCY DAMASKY 17CM 17.1x1;21/07/2026;120,97
0000058;PRATO DE SOBREMESA REGENCY DAMASKY 21CM;21/07/2026;146,97
0000059;PRATO DE SOBREMESA REGENCY DAMASKY 21CM;21/07/2026;146,97
